City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,kasungu,-13.0333,33.4833,291.98,94,100,1.5,MW,1704396096
281,labytnangi,66.6572,66.4183,249.74,97,100,2.6,RU,1704396096
282,yelizovo,53.1873,158.3805,259.71,77,0,5.0,RU,1704396096
283,palembang,-2.9167,104.7458,299.2,94,20,1.54,ID,1704396097
284,balqash,46.8481,74.995,266.37,82,100,4.03,KZ,1704396097
285,el rosario,24.2556,-107.1828,296.33,53,27,2.7,MX,1704396097
286,callao,-12.0667,-77.15,298.31,65,100,4.63,PE,1704396098
287,arraial do cabo,-22.9661,-42.0278,301.13,78,75,3.6,BR,1704395862
288,sao joao da barra,-21.6403,-41.0511,298.2,97,100,2.52,BR,1704396099
289,le port,-20.9373,55.2919,299.54,85,73,0.93,RE,1704395907
290,bratsk,56.1325,101.6142,247.78,98,87,2.24,RU,1704396099
291,tobol,52.6844,62.5794,271.63,87,100,6.4,KZ,1704396100
292,beau vallon,-20.4189,57.6953,301.6,83,75,3.6,MU,1704396101
293,nadym,65.5333,72.5167,249.52,82,100,6.21,RU,1704396101
294,meizhou,24.2977,116.1072,282.91,79,2,0.95,CN,1704396101
295,ndele,8.4109,20.6473,298.8,16,4,1.98,CF,1704396102
296,springs,-26.25,28.4,294.02,86,90,0.92,ZA,1704396102
297,aswan,24.0934,32.907,291.63,37,0,5.91,EG,1704395888
298,salinas,36.6777,-121.6555,288.06,64,0,0.0,US,1704395995
299,vryburg,-26.9566,24.7284,299.01,31,31,1.54,ZA,1704396103
300,susuman,62.7833,148.1667,230.75,100,98,0.22,RU,1704396103
301,bengkulu,-3.8004,102.2655,297.32,93,100,2.21,ID,1704396104
302,ixtapa,20.7,-105.2,298.83,61,20,3.6,MX,1704396104
303,mananjary,-21.2167,48.3333,298.84,86,100,3.29,MG,1704396105
304,port lincoln,-34.7333,135.8667,290.62,83,100,6.46,AU,1704396105
305,afaahiti,-17.75,-149.2833,300.08,94,100,10.26,PF,1704396105
306,magadan,59.5667,150.8,247.14,83,0,2.64,RU,1704396106
307,vallenar,-28.5708,-70.7581,303.41,25,0,5.08,CL,1704396106
308,mount isa,-20.7333,139.5,299.02,78,37,1.54,AU,1704396106
309,ibotirama,-12.1853,-43.2206,300.36,79,99,2.93,BR,1704396027
310,tarapur,19.85,72.7,294.51,72,0,3.83,IN,1704396107
311,taroa,8.7058,171.2275,300.23,78,100,9.73,MH,1704396107
312,botro,7.8525,-5.3106,303.86,23,27,0.9,CI,1704396107
313,salahonda,2.1019,-78.7217,298.21,92,100,6.57,CO,1704396108
314,touros,-5.1989,-35.4608,302.78,64,0,5.53,BR,1704396108
315,geri,35.1,33.4167,288.16,82,20,3.09,CY,1704396108
316,daru,-9.0763,143.2092,299.35,86,100,0.23,PG,1704395907
317,vikhorevka,56.1201,101.1636,248.28,98,99,2.09,RU,1704396109
318,nola,40.922,14.5329,287.68,91,92,1.73,IT,1704396109
319,zaozersk,69.4005,32.4476,250.51,88,2,5.81,RU,1704395871
320,kegen,43.0197,79.2203,262.02,75,13,3.31,KZ,1704396110
321,nizhnesortymskiy,62.4397,71.7603,251.05,97,100,5.15,RU,1704396111
322,hammerfest,70.6634,23.6821,272.4,69,75,10.29,NO,1704396111
323,auki,-8.7676,160.7034,298.97,86,97,1.48,SB,1704396112
324,tarakan,3.3,117.6333,300.13,78,100,1.77,ID,1704396112
325,el granada,37.5027,-122.4694,288.11,74,0,5.66,US,1704396112
326,kazanlak,42.6167,25.4,281.5,88,83,2.18,BG,1704396112
327,roma,43.2128,-75.4557,271.44,63,40,6.69,US,1704395909
328,brisas de zicatela,15.8369,-97.0419,302.44,61,40,3.09,MX,1704396113
329,san juan de miraflores,-12.1629,-76.9635,297.44,81,98,3.86,PE,1704396113
330,minas de marcona,-15.2119,-75.1103,295.52,63,97,5.08,PE,1704396114
331,rio preto da eva,-2.6994,-59.6997,307.66,40,66,2.1,BR,1704396114
332,proletariy,58.4342,31.7046,249.33,89,6,3.35,RU,1704396114
333,monrovia,6.3005,-10.7969,300.62,77,94,4.12,LR,1704396115
334,san luis de la loma,17.2706,-100.8939,302.05,53,6,3.11,MX,1704396115
335,lubao,14.9167,120.55,298.19,86,88,2.53,PH,1704395856
336,podgornoye,51.735,39.1496,254.27,78,0,2.0,RU,1704396116
337,kitimat,54.0524,-128.6534,276.99,63,100,2.24,CA,1704396116
338,paimio,60.4567,22.6869,255.01,86,100,1.34,FI,1704396116
339,apahida,46.8167,23.75,281.23,66,0,3.6,RO,1704396117
340,karratha,-20.7377,116.8463,298.18,79,3,6.0,AU,1704395881
341,luorong,24.4058,109.6086,286.61,69,100,1.11,CN,1704396117
342,sabha,27.0377,14.4283,289.51,31,100,3.15,LY,1704396118
343,raja,8.4596,25.678,295.87,16,100,1.21,SS,1704396118
344,east london,-33.0153,27.9116,294.39,79,52,6.69,ZA,1704396118
345,tsiombe,-25.3,45.4833,296.18,84,6,4.79,MG,1704396119
346,bhadrachalam,17.6667,80.8833,292.09,86,100,1.61,IN,1704396119
347,kirovskoye,42.6198,71.5891,283.5,51,100,3.2,KG,1704396119
348,bireun,5.203,96.7009,298.66,86,93,1.88,ID,1704396120
349,ghat,24.9647,10.1728,289.63,27,20,2.44,LY,1704396120
